Date,Open,High,Low,Close,Volume
01/28/2025,"75.54","80.74","74.04","80.23","65,916,656"
01/27/2025,"74.07","76.72","72.67","75.44","76,093,328"
01/24/2025,"79.05","82.24","78.44","78.98","77,931,914"
01/23/2025,"76.04","79.00","75.84","78.98","55,937,898"
01/22/2025,"74.50","77.16","73.80","76.87","66,876,367"
01/21/2025,"73.24","73.64","70.60","73.07","56,228,969"
01/17/2025,"70.90","72.34","69.95","71.77","54,753,980"
01/16/2025,"69.08","71.43","68.36","69.24","62,908,660"
01/15/2025,"68.55","68.85","67.08","68.14","56,025,754"
01/14/2025,"67.18","68.23","65.19","65.91","56,814,898"
01/13/2025,"64.29","65.68","63.40","64.98","69,046,328"
01/10/2025,"66.01","68.20","65.04","67.26","78,148,641"
01/08/2025,"68.12","69.53","66.51","68.23","91,349,516"
01/07/2025,"75.20","75.39","69.75","69.99","91,727,352"
01/06/2025,"78.69","80.06","74.61","75.92","105,619,508"
01/03/2025,"75.39","79.98","75.19","79.89","62,415,008"
01/02/2025,"76.20","76.53","72.42","75.19","72,217,195"
12/31/2024,"77.58","77.98","73.65","75.63","56,267,941"
12/30/2024,"77.04","79.24","76.11","77.18","60,850,859"
12/27/2024,"81.42","82.00","77.93","79.08","66,975,891"
12/26/2024,"83.16","83.49","81.30","82.14","60,547,754"
12/24/2024,"81.09","84.80","81.00","82.38","64,983,262"
12/23/2024,"80.65","82.02","77.41","80.69","93,819,477"
12/20/2024,"72.64","80.66","71.50","80.55","281,230,781"
12/19/2024,"73.99","76.59","73.37","74.21","99,524,328"
12/18/2024,"74.30","77.60","70.27","71.51","109,643,398"
12/17/2024,"73.28","75.32","71.70","74.39","75,469,391"
12/16/2024,"75.06","77.82","71.16","75.75","126,099,602"
12/13/2024,"73.49","76.10","72.45","76.07","76,172,789"
12/12/2024,"72.30","75.38","71.90","73.20","73,859,672"
12/11/2024,"72.98","73.00","68.07","72.51","89,477,664"
12/10/2024,"71.99","75.56","70.73","70.89","89,672,469"
12/09/2024,"80.58","80.91","71.05","72.46","168,134,797"
12/06/2024,"72.95","76.82","72.28","76.34","93,640,898"
12/05/2024,"70.11","72.98","69.89","71.87","66,585,758"
12/04/2024,"71.13","71.18","67.28","69.85","86,284,797"
12/03/2024,"66.41","71.37","66.15","70.96","100,751,398"
12/02/2024,"67.44","67.88","65.96","66.39","46,404,969"
11/29/2024,"65.89","67.16","65.47","67.08","30,104,051"
11/27/2024,"66.24","67.56","64.24","66.05","53,839,898"
11/26/2024,"64.57","65.85","63.89","65.74","46,923,566"
11/25/2024,"66.90","67.88","64.08","64.65","80,640,469"
11/22/2024,"61.60","64.44","61.37","64.35","61,381,711"
11/21/2024,"62.04","63.40","60.90","61.36","56,336,738"
11/20/2024,"62.59","63.08","59.96","62.12","59,182,180"
11/19/2024,"59.51","63.01","59.27","62.98","75,557,820"
11/18/2024,"64.92","64.92","58.85","61.26","137,877,594"
11/15/2024,"61.01","66.00","60.91","65.77","155,280,406"
11/14/2024,"61.05","61.17","58.53","59.18","59,968,238"
11/13/2024,"61.52","63.39","59.85","60.70","85,937,359"
11/12/2024,"59.01","60.09","58.57","59.85","59,061,340"
11/11/2024,"60.13","62.08","58.69","60.24","108,357,797"
11/08/2024,"55.57","58.48","55.30","58.39","84,124,031"
11/07/2024,"55.82","56.47","53.55","55.88","121,591,203"
11/06/2024,"53.44","55.69","51.61","55.53","114,255,906"
11/05/2024,"47.86","51.58","46.86","51.13","208,868,188"
11/04/2024,"41.08","42.04","41.03","41.41","75,413,297"
11/01/2024,"41.93","42.57","41.59","41.92","33,722,520"
10/31/2024,"42.79","43.32","40.90","41.56","50,973,359"
10/30/2024,"44.58","44.80","43.61","43.69","31,309,230"
10/29/2024,"44.90","45.07","44.04","44.93","26,154,711"
10/28/2024,"45.05","45.14","44.68","44.97","36,729,699"
10/25/2024,"43.85","45.07","43.65","44.86","50,416,488"
10/24/2024,"42.89","43.73","42.66","43.56","34,079,559"
10/23/2024,"42.85","43.68","42.06","42.59","35,646,980"
10/22/2024,"42.69","43.49","42.30","42.94","27,830,730"
10/21/2024,"42.86","43.40","42.41","42.70","30,719,779"
10/18/2024,"42.02","42.99","41.65","42.97","33,969,020"
10/17/2024,"42.15","42.70","41.61","42.00","34,028,406"
10/16/2024,"42.40","42.49","40.36","41.93","59,157,941"
10/15/2024,"43.48","43.68","41.52","42.43","48,296,969"
10/14/2024,"43.72","44.39","43.28","43.40","41,010,910"
10/11/2024,"43.40","44.38","42.62","43.51","66,206,891"
10/10/2024,"42.92","43.88","42.41","43.52","62,516,312"
10/09/2024,"41.55","43.34","41.21","43.13","86,404,703"
10/08/2024,"39.29","41.49","39.02","41.45","62,542,953"
10/07/2024,"39.90","40.15","38.78","38.89","44,124,770"
10/04/2024,"39.65","40.29","39.40","40.01","62,657,551"
10/03/2024,"37.45","39.29","37.37","39.24","57,196,449"
10/02/2024,"36.30","37.68","36.15","37.49","34,988,910"
10/01/2024,"37.21","37.56","36.05","36.46","52,858,039"
